param_name,base,in_l_bound,in_u_bound,out_u_bound,out_l_bound
VSH_TAU_0,10,2.0,2.6989700043360183,1,0
VSH_TAU_SAT,10,0.0,3.301029995663981,1,0
VSH_B,10,-0.9999999999999998,1.0,1,0
AI_N,10,0.0,1.301029995663981,1,0
AI_GAMMA0,10,-4.477125597686197,-4.477125597686197,1,0
x_end,10,-1.2355633236523678,-0.2804880059541948,1,0
y_1,10,2.400054211274874,3.0399690268674604,1,0
y_2,10,2.4132159153539128,3.1290127931260345,1,0
y_3,10,2.414873114601468,3.187802638718419,1,0
y_4,10,2.4149399394180184,3.2371917365751384,1,0
y_5,10,2.416607226792504,3.2680628778226835,1,0
y_6,10,2.416607226792504,3.3011385557150157,1,0
y_7,10,2.4162909343448398,3.321101099197822,1,0
y_8,10,2.4162909343448398,3.339511065746308,1,0
y_9,10,2.4153239826996917,3.3610097126081424,1,0
y_10,10,2.4149733479708178,3.3800302479678304,1,0
y_11,10,2.4115018581392236,3.4022441823326193,1,0
y_12,10,2.4071188540464235,3.4148062795010126,1,0
y_13,10,2.4019516759848276,3.4306715586369876,1,0
y_14,10,2.39557099712082,3.441946372603051,1,0
y_15,10,2.3809886564321054,3.4526449676799937,1,0
y_16,10,2.372580635030913,3.461873532835076,1,0
y_17,10,2.3631981690157637,3.4727125789720157,1,0
y_18,10,2.341889355714299,3.483573034190131,1,0
y_19,10,2.313255404185037,3.490997294015253,1,0
y_20,10,2.2735336801512975,3.4994671309895424,1,0
