param_name,out_l_bound,in_u_bound,base,in_l_bound,out_u_bound
tau_s,0,3.301029995663981,10,0.0,1
b,0,2.0,10,-0.9999999999999998,1
tau_0,0,2.6989700043360183,10,2.0,1
gamma_0,0,-4.47755576649368,10,-4.47755576649368,1
n,0,0.6989700043360187,10,0.0,1
x_end,0,7.556302500767286,10,1.7329322726717782,1
y_1,0,-1.2547455913742347,10,-3.2926768459046865,1
y_2,0,-1.1694498229303352,10,-3.2926768459046865,1
y_3,0,-1.0808957460937292,10,-3.2926768459046865,1
y_4,0,-0.9925509555022511,10,-3.2926768459046865,1
y_5,0,-0.9403608616762751,10,-3.2926768459046865,1
y_6,0,-0.8965383779052952,10,-3.2926768459046865,1
y_7,0,-0.8599635890247179,10,-3.2926768459046865,1
y_8,0,-0.8287124493471393,10,-3.2926768459046865,1
y_9,0,-0.8011505467075493,10,-3.2926768459046865,1
y_10,0,-0.7647746549881344,10,-3.2926768459046865,1
y_11,0,-0.7432822540225129,10,-3.2926768459046865,1
y_12,0,-0.7234922411701441,10,-3.2926768459046865,1
y_13,0,-0.705027025279592,10,-3.2926768459046865,1
y_14,0,-0.6876322052840265,10,-3.2926768459046865,1
y_15,0,-0.6711720609857194,10,-3.2926768459046865,1
y_16,0,-0.6555487763138617,10,-3.2926768459046865,1
y_17,0,-0.6406768700237927,10,-3.2926768459046865,1
y_18,0,-0.6264995220321257,10,-3.2926768459046865,1
y_19,0,-0.6129306730679795,10,-3.2926768459046865,1
y_20,0,-0.5865828748906312,10,-3.2926768459046865,1
y_21,0,-0.5865828748906312,10,-3.2926768459046865,1
y_22,0,-0.5610939138482074,10,-3.2926768459046865,1
y_23,0,-0.5489508024208702,10,-3.2926768459046865,1
y_24,0,-0.5287229612997818,10,-3.2926768459046865,1
y_25,0,-0.5123667825431237,10,-3.2926768459046865,1
