param_name,base,out_u_bound,out_l_bound,in_l_bound,in_u_bound
tau_s,10,1,0,0.0,3.301029995663981
b,10,1,0,-0.9999999999999998,2.0
tau_0,10,1,0,2.0,2.6989700043360183
gamma_0,10,1,0,-4.47755576649368,-4.47755576649368
n,10,1,0,0.0,0.6989700043360187
y_1,10,1,0,-3.285236181295312,0.7475093341101814
y_2,10,1,0,-3.2779209109433602,1.0485179976986065
y_3,10,1,0,-3.2707268208953435,1.2246021458295833
y_4,10,1,0,-3.263649961688897,1.3495373269318687
y_5,10,1,0,-3.25668657384886,1.4464452066223445
y_6,10,1,0,-3.249833075893667,1.525625030452427
y_7,10,1,0,-3.2430860532734753,1.5925708042105158
y_8,10,1,0,-3.238129052326842,1.6505619892822494
y_9,10,1,0,-3.233243648638967,1.7017139191351878
y_10,10,1,0,-3.2290006160175686,1.7474709356197262
y_11,10,1,0,-3.2254954585212805,1.788863232897091
y_12,10,1,0,-3.2220183645353235,1.826651470552176
y_13,10,1,0,-3.2185688882541554,1.8614133033052414
y_14,10,1,0,-3.215146594411409,1.8935977522426655
y_15,10,1,0,-3.2117510579502797,1.923560772443893
y_16,10,1,0,-3.2083818637067023,1.9515893182648694
y_17,10,1,0,-3.2050386061047256,1.9779181001230994
y_18,10,1,0,-3.201720888863515,2.0027415444133108
y_19,10,1,0,-3.1984283247154703,2.0262225155053253
y_20,10,1,0,-3.196076510510889,2.048498797934689
y_21,10,1,0,-3.1938261900515688,2.069687995416317
y_22,10,1,0,-3.1915874696693898,2.0898912891515744
y_23,10,1,0,-3.1893602303839708,2.109196360024612
y_24,10,1,0,-3.1871443550361414,2.127679688423125
y_25,10,1,0,-3.184939728250962,2.145408384271684
y_26,10,1,0,-3.18274623640168,2.162441657928725
y_27,10,1,0,-3.1805637675745833,2.178832013337498
y_28,10,1,0,-3.178392211534742,2.194626224082711
y_29,10,1,0,-3.1762314596925973,2.2098661380936995
y_30,10,1,0,-3.1740814050713775,2.2245893458717014
y_31,10,1,0,-3.1719419422753177,2.238829739107648
y_32,10,1,0,-3.16981296745866,2.2526179805820297
y_33,10,1,0,-3.1676943782954052,2.2659819017354983
y_34,10,1,0,-3.165586073949804,2.2789468408720857
y_35,10,1,0,-3.163487955047556,2.291535932325339
y_36,10,1,0,-3.161399923647708,2.3037703548795117
y_37,10,1,0,-3.1593218832152155,2.3156695461468018
y_38,10,1,0,-3.1572537385941657,2.3272513883501147
y_39,10,1,0,-3.15567862437647,2.3385323699695295
y_40,10,1,0,-3.154213170428267,2.349527726920231
y_41,10,1,0,-3.1527526447837504,2.360251566295424
y_42,10,1,0,-3.1512970144063406,2.370716975195892
y_43,10,1,0,-3.1498462465905375,2.380936116752331
y_44,10,1,0,-3.14840030895751,2.3909203151075586
y_45,10,1,0,-3.14695916945076,2.4006801308476238
y_46,10,1,0,-3.145522796331858,2.410225428141679
y_47,10,1,0,-3.144091158176251,2.41956543466076
y_48,10,1,0,-3.142664223869136,2.428708795187861
y_49,10,1,0,-3.1412419626014003,2.437663619699968
y_50,10,1,0,-3.1398243438656346,2.4464375265922853
y_51,10,1,0,-3.138411337452202,2.455037681621963
y_52,10,1,0,-3.1370029134453787,2.4634708330701325
y_53,10,1,0,-3.1355990422195528,2.4717433435545497
y_54,10,1,0,-3.134199694435483,2.479861218868547
y_55,10,1,0,-3.132804841036623,2.487830134173756
y_56,10,1,0,-3.131414453245499,2.4956554578327195
y_57,10,1,0,-3.1300285025601475,2.5033422731320862
y_58,10,1,0,-3.1286469607506104,2.5108953981165367
y_59,10,1,0,-3.127269799855484,2.518319403727239
y_60,10,1,0,-3.1258969921785256,2.52561863041585
y_61,10,1,0,-3.1245285102853066,2.5327972033852615
y_62,10,1,0,-3.1231643269999276,2.5398590465910913
y_63,10,1,0,-3.1218044154017788,2.54680789562291
y_64,10,1,0,-3.1204487488223513,2.5536473095710654
y_65,10,1,0,-3.1190973008421,2.5603806819734882
y_66,10,1,0,-3.117762957622445,2.5670112509267597
y_67,10,1,0,-3.1167076766557633,2.573542108436864
y_68,10,1,0,-3.1156549536747717,2.5799762090772096
y_69,10,1,0,-3.1146047763084126,2.5863163780146152
y_70,10,1,0,-3.113557132275154,2.5925653184578206
y_71,10,1,0,-3.1125120093821317,2.5987256185776824
y_72,10,1,0,-3.111469395524295,2.6047997579433897
y_73,10,1,0,-3.110429278683567,2.6107901135147618
y_74,10,1,0,-3.1093916469280125,2.616698965226867
y_75,10,1,0,-3.108356488411018,2.6225285011998003
y_76,10,1,0,-3.107323791370479,2.628280822603411
y_77,10,1,0,-3.106293544127998,2.6339579482040487
y_78,10,1,0,-3.1052657350880932,2.6395618186179446
y_79,10,1,0,-3.1042403527374147,2.6450943002936538
y_80,10,1,0,-3.10321738564397,2.65055718924401
y_81,10,1,0,-3.10219682245636,2.655952214546265
y_82,10,1,0,-3.101178651903025,2.6612810416274773
y_83,10,1,0,-3.100162862791493,2.6665452753507712
y_84,10,1,0,-3.0991494440076472,2.6717464629167793
y_85,10,1,0,-3.0981383845149923,2.676886096593386
y_86,10,1,0,-3.097129673353934,2.681965616285828
y_87,10,1,0,-3.0961232996410684,2.6869864119582263
y_88,10,1,0,-3.0951192525684745,2.69194982591673
y_89,10,1,0,-3.09411752140302,2.6968571549636637
y_90,10,1,0,-3.093118095485671,2.7017096524313287
y_91,10,1,0,-3.092120964230814,2.706508530103421
y_92,10,1,0,-3.09112611712558,2.71125496003146
y_93,10,1,0,-3.090133543729182,2.715950076253018
y_94,10,1,0,-3.0891561326032835,2.7205949764180617
y_95,10,1,0,-3.0882162581771655,2.7251907233292436
y_96,10,1,0,-3.087278413380068,2.7297383464015375
y_97,10,1,0,-3.0863425894650365,2.734238843046249
y_98,10,1,0,-3.08540877774154,2.7386931799840446
y_99,10,1,0,-3.084476969574987,2.7431022944913206
y_100,10,1,0,-3.0835471563862433,2.7474670955839473
